,Français,Deutsch
K1,courageux,mutig
,le courage,der Mut
,"sincère, de bonne foi",ehrlich
,timide,schüchtern
,"malin, intelligent",klug
,intelligent,intelligent
,"amusant, drôle, marrant",lustig
,Je suis très courageux.,Ich bin sehr mutig.
,Je suis un peu timide.,Ich bin ein bisschen schüchtern.
,Je ne suis pas particulièrement intelligent.,Ich bin nicht besonders intelligent.
,Je ne suis pas si fort en math.,Ich bin nicht so gut in Mathe.
,capable de travailler en équipe,teamfähig
,Celui qui est capable de travailler en équipe peut bien collaborer avec tout le monde.,"Wer teamfähig ist, kann mit allen zusammenarbeiten."
,la capacité à travailler en équipe,die Teamfähigkeit
,la serviabilité,die Hilfsbereitschaft
,serviable,hilfsbereit
,engagé,engagiert
,s’engager pour,sich engagieren für (+A)
,il s’engage pour,er engagiert sich für (+A)
,il s’est engagé pour,er hat sich für … engagiert
,"ouvert, réceptif",offen
,Il s’intéresse à tout et à tous: il est vraiment ouvert !,Er interessiert sich für alles und alle: Er ist wirklich offen!
,curieux,neugierig
,fort,stark
,faible,schwach
,"la qualité, la force",die Stärke
,"les qualités, les forces",die Stärken
,la faiblesse,die Schwäche
,les faiblesses,die Schwächen
,spontané,spontan
,actif,aktiv
,Elle est très active politiquement.,Sie ist politisch sehr aktiv.
,méchant,gemein
,sympathique,nett
,la patience,die Geduld
,patient,geduldig
,l’énergie,die Energie
,l’humour,der Humor
,qui a de l’humour,humorvoll
,la gentillesse,die Freundlichkeit
,la sincérité,die Ehrlichkeit
,sincère,ehrlich
,l’ouverture,die Offenheit
,la persévérance,die Ausdauer
,"Elle peut marcher pendant huit heures, elle a vraiment de l’endurance.","Sie kann acht Stunden wandern, sie hat wirklich Ausdauer."
,sûr de soi,selbstbewusst
,timide,schüchtern
,la conscience de sa propre valeur,das Selbstbewusstsein
, l’ambition,der Ehrgeiz
,ambitieux,ehrgeizig
,trouver une personne super/cool,eine Person toll/cool finden
,le nom,der Name
,les noms,die Namen
,le lieu de naissance,der Geburtsort
,"le métier, la profession",der Beruf
,"les métiers, les professions",die Berufe
,Quel est votre métier ?,Was sind Sie von Beruf?
,le chanteur,der Sänger
,les chanteurs ,die Sänger
,la chanteuse,die Sängerin
,les chanteuses,die Sängerinnen
,l’acteur,der Schauspieler
,les acteurs,die Schauspieler
,l’actrice,die Schauspielerin
,les actrices,die Schauspielerinnen
,célèbre,berühmt
,admirer,bewundern
,il admire,er bewundert
,il a admiré,er hat bewundert
,le modèle,das Vorbild
,les modèles,die Vorbilder
,Elle est mon modèle.,Sie ist mein Vorbild.
,Je l’admire.,Ich bewundere sie.
,la formation,die Ausbildung
,les formations,die Ausbildungen
,les études,"das Studium, die Studien"
,étudier,studieren
,il étudie,er studiert
,il a étudié,er hat studiert
,Elle étudie le droit.,Sie studiert Jura.
,l’université,"die Universität, die Uni"
,les universités,"die Universitäten, die Unis"
,organiser,organisieren
,il organise,er organisiert
,il a organisé,er hat organisiert
,se battre pour des droits,für Recht kämpfen
,il se bat,er kämpft 
,il s'est battu,er hat gekämpft
,Elle se bat pour les droits de la femme.,Sie kämpft für die Rechte der Frauen.
,le droit,das Recht
,les droits,die Rechte
,le politicien,der Politiker
,les politiciens,die Politiker
,la politicienne,die Politikerin
,les politiciennes,die Politikerinnen
,le scientifique,der Wissenschaftler
,les scientifiques,die Wissenschaftler
,la scientifique,die Wissenschaftlerin
,les scientifiques (femmes),die Wissenschaftlerinnen
,… est un chanteur que j’admire beaucoup.,"… ist ein Sänger, den ich sehr bewundere."
,l’expérience,die Erfahrung
,les expériences,die Erfahrungen
,Elle parle ouvertement de ses expériences.,Sie spricht offen über ihre Erfahrungen.
,Je trouve cela pas si important.,Ich finde das nicht so wichtig.
,Je trouve cela particulièrement important.,Ich finde das besonders wichtig.
,Je trouve cela très important.,Ich finde das sehr wichtig.
,C’est important pour moi que…,"Mir ist es wichtig, dass…"
,Ce n’est pas important pour moi que…,"Mir ist es nicht wichtig, dass…"
,L’honnêteté est en première place pour moi.,Ehrlichkeit steht bei mir an der ersten Stelle.
,la valeur,der Wert
,les valeurs,die Werte
,L'honnêteté et l’amitié sont des valeurs importantes.,Ehrlichkeit und Freundlichkeit sind wichtige Werte.
,le sondage,die Umfrage
,les sondages,die Umfragen
,Ils ont fait un sondage à l’école.,Sie haben eine Umfrage in der Schule gemacht.
,Je trouve… plus important que…,… finde ich wichtiger als…
,Je trouve… aussi important que…,… finde ich so wichtig wie…
,"autonome, indépendant",selbständig
,"Il fait tous les devoirs sans aide, il est très autonome.","Er macht alle Hausaufgaben ohne Hilfe, er ist sehr selbständig."
,la liberté,die Freiheit
,libre,frei
,"la cohabitation, la vie en communauté",das Zusammenleben
,la relation,die Beziehung
,les relations,die Beziehungen
,Les deux sont en couple depuis longtemps. Ils vivent une relation stable.,Die zwei sind schon lange ein Paar. Sie leben in einer festen Beziehung.
,"l’autonomie, l’indépendance",die Selbstständigkeit
,"il est question de…, il s’agit pour moi de…",es geht mir um…
,Il s’agit pour eux de s’engager.,Es geht Ihnen um Engagement.
,s’intéresser à,sich interessieren für (+A)
,être intéressé à ,interessiert sein an (+A)
,Il est intéressé à la mode. ,Er ist an Mode interessiert.
,être au premier plan,im Vordergrund stehen
,être en arrière plan,im Hintergrund stehen
,"au contraire de, par opposition à",im Gegensatz zu +D
,"Contrairement à avant, la liberté est aujourd’hui au premier plan chez les jeunes.",Im Gegensatz zu früher steht bei vielen Jugendlichen die Freiheit heute im Vordergrund.
,"le but, l’objectif, la destination",das Ziel
,"les buts, les objectifs, les destinations",die Ziele
,"atteindre, parvenir à ses fins",erreichen
,il atteint,er erreicht
,il a atteint,er hat erreicht
,réussir,(es) schaffen
,il réussit,er schafft (es)
,il a réussit,er hat (es) geschafft
,"travailler, s’entraîner, répéter",üben
,il travaille,er übt
,il a travaillé,er hat geübt
,gagner,gewinnen
,perdre,verlieren
,s’entraîner,trainieren
,il s’entraîne,er trainiert
,il s'est entraîné,er hat trainiert
,essayer,versuchen
,il essaie,er versucht
,il a essayé ,er hat versucht
,"tester, essayer",ausprobieren
,il teste,er probiert aus
,il a testé,er hat ausprobiert
,"rester détendu, cool",cool bleiben
,il reste cool,er bleibt cool
,il est resté cool,er ist cool geblieben
,le succès,der Erfolg
,les succès,die Erfolge 
,fier de,stolz auf (+A)
,Elle est fière de son succès.,Sie ist stolz auf ihren Erfolg.
,le plan,der Plan
,les plans,die Pläne
,Elle fait un plan précis.,Sie macht einen genauen Plan.
,"précis(ément), exact(ement)",genau
,Elle sait précisément ce qu’elle veut.,"Sie weiss genau, was sie will."
,réfléchir à quelque chose,sich etwas überlegen
,Je réfléchi à tout de manière précise.,Ich überlege mir alles genau.
,s’efforcer,sich anstrengen
,il s’efforce,er strengt sich an
,il s'est efforcé,er hat sich angestrengt
,la langue,die Sprache
,les langues,die Sprachen
,apprendre,lernen
,il apprend,er lernt
,il a appris,er hat gelernt
,comprendre,verstehen
,il comprend,er versteht
,il a compris,er hat verstanden
,un peu,ein bisschen
,Il parle aussi un peu arabe.,Er spricht auch ein bisschen Arabisch.
,la langue maternelle,die Muttersprache
,la langue paternelle,die Vatersprache
,la langue étrangère,die Fremdsprache
,les langues étrangères,die Fremdsprachen
,être billingue,zweisprachig sein
,être plurillingue,mehrsprachig sein
,parfait,perfekt
,Il parle parfaitement français.,Er spricht perfekt Französisch.
,le coeur,das Herz
,les coeurs,die Herzen
,"Dans le coeur, c’est le français.",Im Herzen ist bei mir Französisch.
,absolument,unbedingt
,Je veux absolument apprendre le japonais.,Ich will unbedingt Japanisch lernen.
,de toute manière,sowieso
,Je trouve de toute façon l’anglais génial.,Englisch finde ich sowieso genial.
K2,"le natel, le téléphone portable",das Handy
,"les natels, les téléphones portables",die Handys
,l’ordinateur,der Computer
,les ordinateurs,die Computer
,le film,der Film
,les films,die Films
,la radio,das Radio
,les radios,die Radios
,le journal,die Zeitung
,les journaux,die Zeitungen
,le magazine,die Zeitschrift
,les magazines,die Zeitschriften
,le livre,das Buch
,les livres,die Bücher
,la télévision,der Fernseher
,les télévisions,die Fernseher
,l’appareil photo,der Fotoapparat
,les appareils photo,die Fotoapparate
,la tablette,das Tablet
,les tablettes,die Tablets
,surfer sur internet,im Internet surfen
,l’internet,das Internet
,la caméra numérique,die Digitalkamera
,les caméras numériques,die Digitalkameras
,"le disque, le vinyle",die Schallplatte
,"les disques, les vinyles",die Schallplatten
,le tourne-disque,der Plattenspieler
,les tourne-disques,die Plattenspieler
,faire des photos,Fotos machen
,photographier,fotografieren
,faire des vidéos,Videos machen
,filmer,filmen
,écouter de la musique,Musik hören
,apprendre du vocabulaire,Vokabeln lernen
,écouter le bulletin météo,den Wetterbericht hören
,acheter un billet/ticket,eine Fahrkarte kaufen
,téléphoner à qn,telefonieren mit +D
,appeler,anrufen
,regarder des films/vidéos/tutoriels,Filme/Videos/Turorials ansehen
,chatter,chatten
,il chatte,er chattet
,il a chanté,er hat gechattet
,Elle chatte chaque dimanche avec son amie en Australie.,Sie chatten jeden Sonntag mit ihrer Freundin in Australien.
,envoyer des messages,Nachrichten verschicken
,il envoie,er verschickt
,il a envoyé,er hat verschickt
,Il envoie beaucoup de messages à ses amis.,Er verschickt viele Nachrichten an seine Freunde.
,"le message, le sms",die Nachricht
,"les messages, les sms",die Nachrichten
,vérifier des mails,Mails checken
,il vérifie,er checkt
,il a vérifié,er hat gecheckt
,Elle vérifie souvent ses mails.,Sie checkt oft ihre Mails.
,le mail,die Mail
,les mails,die Mails
,rechercher,recherchieren
,il recherche,er recherchiert
,il a recherché,er hat recherchiert
,Il doit rechercher des infos.,Er muss Infos recherchieren.
,l’application,die App
,les applications,die Apps
,"Avec l’application, je peux…",Mit der App kann ich…
,"Sans l’application, je ne peux pas…",Ohne die App kann ich nicht…
,"poster, publier",posten
,il poste,er postet
,il a posté,er hat gepostet
,Elle ne poste que des gentils commentaires.,Sie postet nur nette Kommentare. 
,le commentaire,der Kommentar
,les commentaires,die Kommentare
