Unité,Français,Allemand,
K1,l'école,die Schule,
,les écoles,die Schulen,
,nouveau-elle,neu,
,le prof,der Lehrer,
,les profs,die Lehrer,
,la prof,die Lehrerin,
,les profs femmes,die Lehrerinnen,
,l'élève,"der Schüler, -",
,les élèves,die Schüler,
,l'élève,die Schülerin,
,les élèves (filles),die Schülerinnen,
,Quelle est ta matière préférée ?,Was ist dein Lieblingsfach?,
,Comment peut-on dire cela en allemand ?,Wie kann man das auf Deutsch sagen?,
,Je ne comprends pas.,Ich verstehe das nicht.,
,"Pouvez-vous répéter, s'il vous plaît?",Können Sie das bitte wiederholen?,
,Qui est-ce ?,Wer ist das ?,
,Qu'est-ce que c'est ?,Was ist das?,
,Pas des problème !,Kein Problem.,
,Puis-je aller aux toilettes ?,Darf ich auf die Toilette?,
,Quand... ?,Wạnn…?,
,C'est quand la récréation ?,Wann ist Pause?,
,Combien (de)... ?,Wie viele...?,
,Combien d'heures as-tu le lundi ?,Wie viele Stunden hast du am Montag?,
,la classe,die Klasse,
,les classes,die Klassen,
,l'emploi du temps,der Stundenplan,
,les emplois du temps,die Stundenpläne,
,"la matière, la branche",das Fach,
,"la matière, la branche",die Fächer,
,"la salle scolaire, la pièce",der Raum,
,"les salles scolaires, les pièces",die Räume,
,la salle de classe,das Klassenzimmer,
,les salles de classe,die Klassenzimmer,
,la salle des professeurs,das Lehrerzimmer,
,"les toilettes, les WC",die Toiletten,
,la piscine,das Schwimmbad,
,les piscines,die Schwimmbäder,
,la bibliothèque,"die Bibliothek, -en",
,les bibliothèques,die Bibliotheken,
,la cour de récréation,der Pausenhof,
,les cours de récréation,die Pausenhöfe,
,la cantine scolaire,die Schulkantine,
,"la salle de travaux manuels, l'atelier",der Werkraum,
,"les salles de travaux manuels, les ateliers",die Werkräume,
,la salle informatique,der Computerraum,
,les salles informatiques,die Computerräume,
,la salle de biologie,der Biologieraum,
,les salles de biologie,die Biologieräume,
,la salle d'arts visuels,der Kunstraum,
,les salles d'arts visuels,die Kunsträume,
,la salle de gym,die Turnhalle,
,les salle de gym,die Turnhallen,
,le bureau,das Büro,
,les bureaux,die Büros,
,Où est la salle de biologie ?,Wo ist der Biologieraum?,
,Au rez-de-chaussée.,Im Erdgeschoss.,
,Au premier étage.,Im ersten Stock.,
,Au deuxième étage.,Im zweiten Stock.,
,le cuisinier,der Koch,
,les cuisiniers,die Köche,
,la cuisinière,die Köchin,
,les cuisinières,die Köchinnen,
,le directeur,der Direktor,
,les directeurs,die Direktoren,
,la directrice,die Direktorin,
,les directrices,die Direktorinnen,
,le secrétaire,der Sekretär,
,les secrétaires,die Sekretäre,
,la secrétaire,die Sekretärin,
,les secrétaires (femmes),die Sekretärinnen,
,le concierge,der Hauswart,
,les concierges,die Hauswarte,
,la concierge,die Hauswärterin,
,les concierges (femmes),die Hauswärterinnen,
,les sciences naturelles,die Naturwissenschaften,
,enseigner,unterrichten,
,il enseigne,er unterrichtet,
,Quelles langues parles-tu ?,Welche Sprachen sprichst du?,
,Je parle...,Ich spreche...,
,As-tu un animal domestique ?,Hast du ein Haustier?,
,"Oui, j'ai un chien","Ja, ich habe einen Hund",
,"Non, je n'en ai pas.","Nein, ich habe kein Haustier.",
,Name,nom,
,Vorname,prénom,
,Alter,âge,
,Geburtsort,lieu de naissance,
,Wohnort,domicile,
,Sprachen,langues,
,les loisirs,die Freizeit,
,"le hobby, le passe-temps",das Hobby,
,"les hobbys, les passes-temps",die Hobbys,
,Quel est ton passe-temps ?,Was ist dein Hobby?,
,lire,lesen,
,il lit,er liest,
,dessiner,zeichnen,
,il dessine,er zeichnet,
,nager,schwimmen,
,il nage,er schwimmt,
,faire du cheval,reiten,
,il fait du cheval,er reitet,
,rencontrer des amis,Freunde treffen,
,il rencontre des amis,er trifft Freunde,
,jouer du piano,Klavier spielen,
,il joue du piano,er spielt Klavier,
,écouter de la musique,Musik hören,
,il écoute de la musique,er hört Musik,
,Quel est ton passe-temps préféré ?,Was ist dein Lieblingshobby?,
,la semaine,die Woche,
,les semaines,die Wochen,
,lundi,Montag,
,mardi,Dienstag,
,mercredi,Mittwoch,
,jeudi,Donnerstag,
,vendredi,Freitag,
,samedi,Samstag,
,dimanche,Sonntag,
,Je joue au tennis le lundi.,Am Montag spiele ich Tennis.,
,le week-end,das Wochenende,
,les week-ends,die Wochenenden,
,Quand as-tu du temps ?,Wann hast du Zeit?,
,Le week-end.,Am Wochenende.,
,Le mardi.,Am Dienstag.,
,L'après-midi.,Am Nachmittag.,
,l’heure,die Uhrzeit,
,Quelle heure est-il?,Wie spät ist es?,
,Il est dix heure moins quart.,Es ist Viertel vor zehn.,
,Il est huit heure vingt.,Es ist zwanzig nach acht.,
,Il est onze heure et demi.,Es ist halb zwölf.,
,Il est midi.,Es ist Mittag.,
,Après l’école.,Nach der Schule.,
,A quatre heures.,Um vier Uhr.,
,l’heure (durée),die Stunde,
,les heures (durée),die Stunden,
,A bientôt !,Bis bald!,
,Quand commence l’école ?,Wann fängt die Schule an?,
,il commence,er fängt an,
,L’école commence à huit heures.,Die Schule fängt um acht Uhr an.,
K2,la ville,die Stadt,
,les villes,die Städte,
,la rue,die Strasse,
,les rues,die Strassen,
,la voiture,das Auto,
,les voitures,die Autos,
,le métro,die U-Bahn,
,les métros,die U-Bahnen,
,le bus,der Bus,
,les bus,die Busse,
,la maison,das Haus,
,les maisons,die Häuser,
,le cinéma,das Kino,
,les cinémas,die Kinos,
,aller (à pied),gehen,
,il va (à pied),er geht,
,aller (véhicule),fahren,
,il va (véhicule),er fährt,
,aller à bicyclette,mit dem Fahrrad fahren,
,aller en voiture,mit dem Auto fahren,
,aller en métro,mit der U-Bahn fahren,
,"Excusez-moi, où est le cinéma ?","Entschuldigung, wo ist das Kino ?",
,le centre,das Zentrum,
,au centre-ville,Im Stadtzentrum,
,l'hôtel,das Hotel,
,les hôtels,die Hotels,
,le terrain de sport,der Sportplatz,
,les terrains de sport,die Sportplätze,
,la gare,der Bahnhof,
,les gares,die Bahnhöfe,
,le billet,die Fahrkarte,
,les billets,die Fahrkarten,
,attendre,warten,
,il attend,er wartet,
,le banc,die Bank,
,les bancs,die Bänke,
,le chemin,der Weg,
,les chemins,die Wege,
,droite,rechts,
,à droite,nach rechts,
,gauche,links,
,à gauche,nach links,
,tout droit,geradeaus,
,à,an,
,sur,auf,
,sous,unter,
,devant,vor,
,derrière,hinter,
,"dans, en, à",in,
,à côté de,neben,
,au-dessus de,über,
,entre,zwischen,
,le croisement,die Kreuzung,
,le feu de signalisation,die Ampel,
,les feux de signalisation,die Ampeln,
,"le lieu, l'endroit",der Ort,
,"les lieux, les endroits",die Orte,
,l'arrêt,die Haltestelle,
,les arrêts,die Haltestellen,
,descendre d'un véhicule,aussteigen,
,il descend d’un véhicule,er steigt aus,
,la place du marché,der Marktplatz,
,les places du marché,die Marktplätze,
,proche,nah,
,loin,weit,
,le centre de jeunes,das Jugendzentrum,
,les centres de jeunes,die Jugendzentren,
,l'hôtel de ville,das Rathaus,
,les hôtels de ville,die Rathäuser,
,la place de jeu,der Spielplatz,
,les places de jeu,die Spielplätze,
,le chemin de l'école,der Schulweg,
,les chemins de l'école,die Schulwege,
,"tourner, virer",abbiegen,
,"il tourne, il vire",er biegt ab,
,Je tourne à gauche.,Ich biege links ab.,
,acheter,kaufen,
,il achète,er kauft,
,coûter,kosten,
,cela coûte,es kostet,
,le supermarché,der Supermarkt,
,les supermarchés,die Supermärkte,
,le restaurant,das Restaurant,
,les restaurants,die Restaurants,
,la boulangerie,die Bäckerei,
,les boulangeries,die Bäckereien,
,le kiosque,der Kiosk,
,les kiosques,die Kioske,
,la pharmacie,die Apotheke,
,les pharmacies,die Apotheken,
,la poste,die Post,
,la banque,die Bank,
,les banques,die Banken,
,faire les courses,einkaufen,
,il fait les courses,er kauft ein,
,payer,bezahlen,
,il paie,er bezahlt,
,faire du shopping,shoppen,
,il fait du shopping,er shoppt,
,le grand magasin,das Kaufhaus,
,les grands magasins,die Kaufhäuser,
,le magasin,das Geschäft,
,les magasins,die Geschäfte,
,la caisse,die Kasse,
,les caisses,die Kassen,
,le shampoing,das Shampoo,
,les shampoings,die Shampoos,
,la saucisse,die Wurst,
,les saucisses,die Würste,
,le fromage,der Käse,
,la banane,die Banane,
,les bananes,die Bananen,
,le pain,das Brot,
,les pains,die Brote,
,le petit pain,das Brötchen,
,les petits pains,die Brötchen,
,le médicament,das Medikament,
,les médicaments,die Medikamente,
,le magazine,die Zeitschrift,
,les magazines,die Zeitschriften,
,le journal,die Zeitung,
,les journaux,die Zeitungen,
,le cahier,das Heft,
,les cahiers,die Hefte,
,le livre,das Buch,
,les livres,die Bücher,
,le papier,das Papier,
,les papiers,die Papiere,
,le stylo,der Stift,
,les stylos,die Stifte,
,la feuille,das Blatt,
,les feuilles,die Blätter,
,le stylo,der Kuli,
