Unité,Français,Allemand
K1,Où étais-tu en vacances ?,Wo warst du in den Ferien ?
,Où étais-tu en vacances ?,Wo warst du in den Ferien ?
,en Allemagne,in Deutschland
,en Suisse,in der Schweiz 
,en montagne,in den Bergen 
,au bord de la mer,am Meer
,chez des amis,bei Freunden
,"à la maison, chez soi",zu Hause
,Comment étaient les vacances ?,Wie war es in den Ferien ?
,C'était cool.,Es war cool.
,C'était amusant.,Es war lustig.
,C'était ennuyeux.,Es war langweilig.
,Je me suis bien amusé.,Ich hatte Spass.
,nager,schwimmen
,il nage,er schwimmt
,il a nagé,er ist geschwommen
,la grand-mère,die Grossmutter
,les grands-mères,die Grossmütter
,J'étais chez ma grand-mère.,Ich war bei meiner Grossmutter.
,l’île,die Insel
,les îles,die Inseln
,J'étais sur l'ile de Rab.,Ich war auf der Insel Rab.
,l'excursion,der Ausflug
,les excursions,die Ausflüge
,On fait une excursion à Berne.,Wir machen einen Ausflug nach Bern.
,sans parents,ohne Eltern
,J'étais sans mes parents.,Ich war ohne Eltern weg.
,paresseux,faul
,Elle est paresseuse et ne fait rien.,Sie ist faul und tut nichts.
,apporter,mitbringen
,il apporte,er bringt ... mit
,il a apporté,er hat mitgebracht
,Qu'avez-vous ramené de vacances ?,Was habt ihr aus den Ferien mitgebracht ? 
,le parc d'attractions,der Freizeitpark
,les parcs d'attractions,die Freizeitparks
,passer les vacances,seine Ferien verbringen
,Nous avons passé les vacances chez nous / à la maison.,Wir haben unsere Ferien zu Hause verbracht.
,le 15 août ,am 15. August
,"en mai, en juin …"," im Mai, im Juni ..."
,"en été, en automne …","im Sommer, im Herbst ..."
,du 15 août au 3 septembre,vom 15. August bis (zum) 3. September 
,de dimanche à mercredi,von Sonntag bis Mittwoch
,"un jour, une journée",einen Tag
,"toute la journée, un jour entier",den ganzen Tag
,Les élèves sont restés toute la journée ensemble.,Die Schüler waren den ganzen Tag zusammen.
,une semaine,eine Woche
,"ponctuel, à l’heure",pünktlich
,propre,sauber
,le château ,das Schloss
,les châteaux,die Schlösser
,Nous avons visité le château de Neuschwanstein.,Wir haben Schloss Neuschwanstein besucht.
,le dialecte,der Dialekt
,les dialectes,die Dialekte
,"en ordre, ordonné",ordentlich
,"en désordre, désordonné",unordentlich
,"faire un barbecue, faire griller qqch",grillen
